Index,R0_C0,R0_C1,R0_C2,R0_C3,R0_C4,R0_C5,R1_C0,R1_C1,R1_C2,R1_C3,R1_C4,R1_C5,R2_C0,R2_C1,R2_C2,R2_C3,R2_C4,R2_C5,R3_C0,R3_C1,R3_C2,R3_C3,R3_C4,R3_C5,R4_C0,R4_C1,R4_C2,R4_C3,R4_C4,R4_C5,R5_C0,R5_C1,R5_C2,R5_C3,R5_C4,R5_C5,VGND
169,-7,3,0,-2,-7,4,-8,3,1,0,-7,4,-5,3,1,-1,-6,4,-5,-100,1,-164,-4,4,-7,5,-2,-2,-9,4,-6,3,2,-1,-6,3,-1
170,-6,2,3,-1,-6,2,-7,5,3,-2,-7,4,-7,3,1,0,-8,4,-5,-94,0,-149,-8,4,-8,2,3,1,-7,5,-7,5,3,0,-6,3,1
171,-5,3,2,-2,-7,4,-7,4,0,-4,-7,4,-6,1,3,-2,-7,4,-8,-102,0,-120,-6,4,-7,3,2,-2,-6,3,-6,3,1,-1,-7,2,-3
172,-7,3,2,-2,-6,3,-8,5,0,1,-6,4,-6,4,3,-3,-6,4,-7,-109,0,-111,-6,3,-7,3,1,0,-6,2,-6,3,2,1,-7,4,-1
173,-6,3,2,-2,-7,2,-7,3,3,1,-8,4,-5,4,3,1,-5,4,-6,-109,0,-99,-9,4,-7,3,1,-1,-6,1,-7,3,2,0,-7,4,-1
174,-6,2,-1,0,-6,3,-7,4,3,0,-7,2,-7,6,1,-1,-7,3,-8,-106,2,-98,-7,2,-7,3,0,-2,-6,1,-6,4,0,-1,-6,4,-2
175,-6,3,3,1,-7,4,-7,3,2,0,-6,2,-7,2,2,1,-6,4,-5,-108,3,-100,-6,4,-7,1,1,1,-8,4,-7,1,0,-1,-7,4,-2
176,-5,3,3,-1,-6,5,-7,4,2,1,-4,4,-10,3,2,-1,-8,4,-6,-121,0,-91,-4,1,-4,3,3,1,-7,4,-7,3,2,1,-6,1,-3
177,-8,3,0,-2,-6,2,-6,1,0,0,-8,6,-6,3,0,-1,-6,4,-6,-120,0,-91,-6,4,-7,3,1,-3,-8,1,-7,3,1,-1,-6,5,0
178,-6,0,2,-2,-8,3,-5,4,0,-1,-7,1,-6,2,1,-1,-9,4,-7,-97,3,-81,-8,6,-5,4,-1,-1,-5,4,-7,1,0,-4,-9,3,-1
179,-5,3,0,-2,-7,4,-5,5,4,-2,-6,4,-5,4,3,-2,-5,5,-7,-100,1,-51,-6,1,-7,3,1,1,-6,4,-5,3,2,0,-6,3,-2
180,-7,3,0,1,-7,4,-7,1,2,-2,-6,4,-6,4,4,-2,-7,4,-5,-100,3,-43,-6,3,-7,4,0,0,-9,2,-6,3,0,-2,-7,4,0
181,-5,1,0,-4,-6,1,-6,4,1,-1,-6,4,-7,0,3,0,-8,4,-7,-99,0,-41,-8,2,-5,3,1,0,-5,4,-9,3,3,-1,-4,3,-1
182,-7,5,3,-2,-5,6,-7,3,0,1,-8,3,-8,3,3,-2,-6,3,-7,-100,3,-37,-6,4,-7,2,0,-2,-8,2,-6,3,2,-2,-7,4,-1
183,-5,2,1,-2,-5,5,-6,3,1,1,-6,5,-7,4,3,1,-8,4,-5,-35,2,-23,-6,4,-5,5,3,-1,-7,4,-7,3,0,1,-6,1,-2
184,-7,3,1,-2,-6,5,-5,3,3,-1,-6,2,-7,3,3,-3,-6,4,-6,-19,1,-30,-7,4,-7,1,4,-1,-7,4,-5,1,3,1,-8,6,-3
185,-5,4,2,0,-7,4,-7,3,0,-2,-6,1,-7,0,0,-1,-5,3,-5,-14,3,-34,-6,4,-6,3,1,0,-5,3,-7,1,2,0,-5,1,0
186,-5,5,2,-2,-6,4,-7,5,3,0,-7,5,-6,0,1,-1,-7,4,-6,-18,-1,-43,-6,1,-5,2,0,2,-4,4,-6,3,0,0,-7,3,-3
187,-10,3,1,-2,-6,3,-7,4,0,1,-6,3,-7,5,3,1,-7,4,-7,-14,2,-43,-6,4,-7,2,2,-2,-6,3,-5,3,0,0,-8,1,0
188,-5,4,2,-1,-7,4,-6,3,0,-1,-6,4,-7,1,0,-2,-6,5,-5,-12,0,-42,-6,3,-7,3,1,1,-7,2,-7,1,0,-3,-6,1,-2
189,-8,3,1,-3,-6,3,-6,3,3,1,-6,5,-6,5,3,-1,-9,3,-7,-13,1,-43,-7,3,-7,2,1,-1,-7,3,-7,3,1,-1,-6,1,1
190,-7,3,-1,-1,-9,4,-8,3,2,-1,-9,4,-5,3,2,-1,-9,5,-4,-12,3,-40,-5,4,-8,2,1,-2,-7,3,-7,2,1,-2,-7,2,1
191,-5,2,2,2,-4,4,-7,6,1,-2,-5,2,-6,1,-1,-1,-6,3,-5,-10,3,-43,-6,2,-7,2,1,1,-6,5,-6,3,0,0,-6,3,-2
192,-7,3,2,-2,-8,2,-5,3,1,0,-8,3,-6,3,0,-2,-5,3,-9,-7,-1,-45,-7,1,-8,3,2,-4,-9,4,-7,3,2,0,-5,6,-2
193,-7,3,3,1,-7,3,-7,4,1,-2,-8,4,-7,1,3,-2,-7,2,-5,-3,2,-44,-6,1,-7,3,1,-2,-8,4,-6,3,3,-2,-6,1,-1
194,-8,3,2,0,-5,1,-5,2,1,-1,-6,2,-6,3,-1,-1,-5,1,-7,-6,1,-47,-9,2,-6,3,0,-1,-7,3,-6,3,0,-1,-5,4,0
195,-6,3,1,-3,-6,3,-9,1,1,-1,-6,4,-7,3,3,-1,-6,4,-7,-6,0,-48,-6,3,-7,2,0,-2,-9,4,-7,1,2,-2,-9,3,-2
196,-8,3,1,-2,-7,5,-6,4,2,0,-6,3,-5,3,3,-1,-8,4,-7,-6,0,-41,-8,3,-5,3,2,-1,-9,4,-7,3,0,-1,-9,4,-2
197,-6,3,0,1,-7,5,-5,3,1,-2,-9,4,-6,3,2,1,-6,2,-5,-4,3,-42,-5,2,-7,3,0,-2,-6,4,-5,3,3,1,-6,6,-2
198,-6,3,3,-2,-4,3,-7,3,2,-1,-6,5,-8,4,0,-2,-7,4,-7,-6,2,-40,-7,4,-4,2,2,-1,-8,4,-8,4,2,-3,-9,5,-2
199,-7,2,3,-2,-7,1,-5,4,3,-2,-4,4,-3,3,4,-3,-5,4,-9,-7,-1,-41,-6,3,-8,4,0,-2,-6,1,-8,3,-1,-2,-7,4,-3
200,-7,4,0,-2,-6,2,-7,3,0,0,-6,2,-7,3,3,-2,-5,2,-6,-6,0,-39,-7,4,-7,3,0,-2,-8,4,-8,3,1,0,-6,1,-1
201,-7,2,2,-2,-6,4,-7,4,0,1,-6,5,-6,3,1,-2,-6,2,-7,-13,3,-22,-5,4,-6,3,2,-2,-5,3,-6,3,0,-2,-5,4,-2
202,-6,3,0,-2,-7,1,-7,3,2,-1,-6,4,-5,3,1,-3,-6,3,-7,-12,1,-18,-6,4,-7,0,2,-2,-6,2,-7,5,3,-2,-6,3,1
203,-7,3,3,-2,-6,4,-7,5,0,0,-7,4,-7,3,0,0,-9,2,-7,-16,3,-6,-8,4,-4,5,2,-2,-8,4,-7,4,1,-1,-6,3,-2
204,-5,3,1,2,-6,1,-7,2,0,1,-6,3,-6,6,2,0,-6,3,-7,-15,2,-5,-9,1,-6,2,3,1,-7,4,-8,5,1,-1,-6,2,-2
205,-5,3,3,0,-4,4,-5,4,1,-1,-7,4,-9,3,-1,-2,-7,3,-7,-16,3,-3,-3,4,-7,1,3,-1,-6,2,-7,2,0,-1,-8,3,-1
