Time(ms),TactileRaw(16bit),GroundRef(16bit)
2695.00,-1924,6
2700.00,-1925,3
2705.00,-1927,2
2710.00,-1930,4
2715.00,-1925,3
2720.00,-1927,2
2725.00,-1922,5
2730.00,-1927,2
2735.00,-1927,2
2740.00,-1927,4
2745.00,-1927,4
2750.00,-1931,3
2755.00,-1929,3
2760.00,-1920,3
2765.00,-1922,4
2770.00,-1929,2
2775.00,-1928,2
2780.00,-1930,1
2785.00,-1928,3
2790.00,-1926,3
2795.00,-1921,2
2800.00,-1930,3
2805.00,-1929,3
2810.00,-1923,1
2815.00,-1917,2
2820.00,-1924,4
2825.00,-1924,3
2830.00,-1924,3
2835.00,-1921,3
2840.00,-1926,3
2845.00,-1926,3
2850.00,-1924,2
2855.00,-1925,3
2860.00,-1924,4
2865.00,-1930,2
2870.00,-1926,4
2875.00,-1923,3
2880.00,-1922,2
2885.00,-1920,5
2890.00,-1927,2
2895.00,-1925,2
2900.00,-1923,2
2905.00,-1927,1
2910.00,-1923,4
2915.00,-1926,2
2920.00,-1924,2
2925.00,-1920,2
2930.00,-1925,1
2935.00,-1933,2
2940.00,-1934,2
2945.00,-1933,2
2950.00,-1934,2
2955.00,-1933,3
2960.00,-1934,2
2965.00,-1932,5
2970.00,-1930,3
2975.00,-1928,5
2980.00,-1924,1
2985.00,-1925,3
2990.00,-1926,4
2995.00,-1928,2
3000.00,-1925,4
3005.00,-1920,5
3010.00,-1925,2
3015.00,-1923,4
3020.00,-1926,3
3025.00,-1921,5
3030.00,-1925,2
3035.00,-1918,3
3040.00,-1936,4
3045.00,-1933,2
3050.00,-1932,3
3055.00,-1927,2
3060.00,-1935,4
3065.00,-1934,3
3070.00,-1935,3
3075.00,-1927,3
3080.00,-1927,3
3085.00,-1927,4
3090.00,-1927,3
3095.00,-1931,5
3100.00,-1929,3
3105.00,-1936,1
3110.00,-1929,2
3115.00,-1925,2
3120.00,-1926,1
3125.00,-1925,3
3130.00,-1922,2
3135.00,-1922,2
3140.00,-1927,4
3145.00,-1926,4
3150.00,-1918,2
3155.00,-1924,2
3160.00,-1927,4
3165.00,-1922,5
3170.00,-1931,5
3175.00,-1925,2
3180.00,-1935,3
3185.00,-1928,3
3190.00,-1933,4
3195.00,-1923,4
3200.00,-1939,4
3205.00,-1931,3
3210.00,-1924,3
3215.00,-1931,4
3220.00,-1935,3
3225.00,-1935,2
3230.00,-1937,2
3235.00,-1933,3
3240.00,-1931,2
3245.00,-1933,3
3250.00,-1927,2
3255.00,-1933,4
3260.00,-1934,2
3265.00,-1930,2
3270.00,-1934,3
3275.00,-1930,5
3280.00,-1938,4
3285.00,-1933,3
3290.00,-1935,5
3295.00,-1930,4
3300.00,-1937,3
3305.00,-1933,4
3310.00,-1933,3
3315.00,-1945,5
3320.00,-1934,4
3325.00,-1939,4
3330.00,-1933,5
3335.00,-1936,3
3340.00,-1931,3
3345.00,-1942,3
3350.00,-1930,2
3355.00,-1932,2
3360.00,-1934,1
3365.00,-1927,2
3370.00,-1930,5
3375.00,-1933,4
3380.00,-1925,4
3385.00,-1933,4
3390.00,-1926,5
3395.00,-1932,3
3400.00,-1926,3
3405.00,-1930,3
3410.00,-1926,2
3415.00,-1935,2
3420.00,-1928,4
3425.00,-1929,2
3430.00,-1931,2
3435.00,-1926,3
3440.00,-1932,2
3445.00,-1928,4
3450.00,-1927,3
3455.00,-1925,2
3460.00,-1925,3
3465.00,-1929,5
3470.00,-1936,2
3475.00,-1928,2
3480.00,-1930,3
3485.00,-1936,5
3490.00,-1929,1
3495.00,-1927,5
3500.00,-1930,4
3505.00,-1924,3
3510.00,-1928,3
3515.00,-1932,3
3520.00,-1925,2
3525.00,-1930,2
3530.00,-1922,3
3535.00,-1924,4
3540.00,-1933,2
3545.00,-1933,2
3550.00,-1927,4
3555.00,-1927,1
3560.00,-1928,3
3565.00,-1931,2
3570.00,-1936,4
3575.00,-1935,2
3580.00,-1942,5
3585.00,-1933,2
3590.00,-1927,3
3595.00,-1933,3
3600.00,-1930,4
3605.00,-1931,2
3610.00,-1936,2
3615.00,-1937,3
3620.00,-1930,1
3625.00,-1936,3
3630.00,-1932,2
3635.00,-1936,3
3640.00,-1939,2
3645.00,-1933,4
3650.00,-1930,2
3655.00,-1931,2
3660.00,-1930,3
3665.00,-1925,4
3670.00,-1930,2
3675.00,-1942,2
3680.00,-1933,2
3685.00,-1934,2
3690.00,-1931,4
3695.00,-1930,4
3700.00,-1936,3
3705.00,-1935,2
3710.00,-1936,0
3715.00,-1929,2
3720.00,-1935,2
3725.00,-1932,3
3730.00,-1935,2
3735.00,-1936,2
3740.00,-1938,2
3745.00,-1931,4
3750.00,-1932,3
3755.00,-1936,3
3760.00,-1926,2
3765.00,-1938,4
3770.00,-1931,3
3775.00,-1933,4
3780.00,-1930,3
3785.00,-1930,5
3790.00,-1919,2
3795.00,-1924,5
3800.00,-1927,2
3805.00,-1918,5
3810.00,-1928,4
3815.00,-1927,5
3820.00,-1924,4
3825.00,-1922,4
3830.00,-1928,3
3835.00,-1919,3
3840.00,-1919,1
3845.00,-1924,3
3850.00,-1922,3
3855.00,-1923,2
3860.00,-1924,4
3865.00,-1924,2
3870.00,-1921,2
3875.00,-1921,5
3880.00,-1929,3
3885.00,-1930,2
3890.00,-1925,4
3895.00,-1924,4
3900.00,-1923,2
3905.00,-1926,2
3910.00,-1927,3
3915.00,-1926,5
3920.00,-1923,2
3925.00,-1918,5
3930.00,-1924,2
3935.00,-1925,2
3940.00,-1927,1
3945.00,-1927,5
3950.00,-1930,2
3955.00,-1930,3
3960.00,-1930,2
3965.00,-1925,3
3970.00,-1921,4
3975.00,-1929,3
3980.00,-1928,2
3985.00,-1923,5
3990.00,-1925,2
3995.00,-1923,4
4000.00,-1916,2
4005.00,-1923,4
4010.00,-1926,3
4015.00,-1924,2
4020.00,-1922,3
4025.00,-1922,2
4030.00,-1930,2
4035.00,-1924,2
4040.00,-1929,2
4045.00,-1928,2
4050.00,-1924,3
4055.00,-1930,2
4060.00,-1938,2
4065.00,-1929,3
4070.00,-1923,2
4075.00,-1933,4
4080.00,-1931,5
4085.00,-1921,2
4090.00,-1925,2
4095.00,-1924,2
4100.00,-1923,2
4105.00,-1927,2
4110.00,-1936,3
4115.00,-1932,4
4120.00,-1924,2
4125.00,-1933,3
4130.00,-1937,4
4135.00,-1933,2
4140.00,-1930,3
4145.00,-1933,2
4150.00,-1930,3
4155.00,-1935,2
4160.00,-1938,2
4165.00,-1937,3
4170.00,-1939,2
4175.00,-1926,2
4180.00,-1936,2
4185.00,-1933,2
4190.00,-1933,2
4195.00,-1936,4
4200.00,-1936,5
4205.00,-1931,3
4210.00,-1925,2
4215.00,-1933,0
4220.00,-1935,4
4225.00,-1928,3
4230.00,-1935,2
4235.00,-1921,1
4240.00,-1922,5
4245.00,-1933,2
4250.00,-1928,2
4255.00,-1937,4
4260.00,-1926,5
4265.00,-1926,1
4270.00,-1933,5
4275.00,-1926,2
4280.00,-1924,3
4285.00,-1924,2
4290.00,-1930,2
4295.00,-1935,1
4300.00,-1936,2
4305.00,-1938,3
4310.00,-1937,2
4315.00,-1936,3
4320.00,-1927,2
4325.00,-1941,4
4330.00,-1938,3
4335.00,-1935,2
4340.00,-1933,2
4345.00,-1934,2
4350.00,-1937,4
4355.00,-1937,3
4360.00,-1936,4
4365.00,-1934,4
4370.00,-1933,0
4375.00,-1927,5
4380.00,-1929,4
4385.00,-1927,5
4390.00,-1926,2
4395.00,-1930,2
4400.00,-1927,3
4405.00,-1928,2
4410.00,-1929,4
4415.00,-1927,2
4420.00,-1926,4
4425.00,-1924,3
4430.00,-1933,2
4435.00,-1924,3
4440.00,-1922,3
4445.00,-1934,3
4450.00,-1926,3
4455.00,-1925,4
4460.00,-1927,6
4465.00,-1918,1
4470.00,-1921,5
4475.00,-1923,3
4480.00,-1918,1
4485.00,-1916,2
4490.00,-1917,2
4495.00,-1921,3
4500.00,-1936,3
4505.00,-1927,2
4510.00,-1921,2
4515.00,-1924,1
4520.00,-1930,2
4525.00,-1930,2
4530.00,-1925,3
4535.00,-1928,4
4540.00,-1927,3
4545.00,-1934,4
4550.00,-1928,4
4555.00,-1928,2
4560.00,-1931,2
4565.00,-1928,3
4570.00,-1934,4
4575.00,-1930,4
4580.00,-1931,2
4585.00,-1929,3
4590.00,-1928,2
4595.00,-1937,1
4600.00,-1930,4
4605.00,-1933,2
4610.00,-1939,2
4615.00,-1935,2
4620.00,-1942,4
4625.00,-1927,3
4630.00,-1931,3
4635.00,-1933,3
4640.00,-1929,4
4645.00,-1933,1
4650.00,-1937,3
4655.00,-1936,4
4660.00,-1936,2
