Index,AD1_TactileRaw(16bit),AD1_VGNDRaw(16bit),AD2_TactileRaw(16bit),AD2_VGNDRaw(16bit),AD3_TactileRaw(16bit),AD3_VGNDRaw(16bit),AD4_TactileRaw(16bit),AD4_VGNDRaw(16bit),AD5_TactileRaw(16bit),AD5_VGNDRaw(16bit),AD6_TactileRaw(16bit),AD6_VGNDRaw(16bit),AD7_TactileRaw(16bit),AD7_VGNDRaw(16bit),AD8_TactileRaw(16bit),AD8_VGNDRaw(16bit)
103,30118,12026,30124,12032,30037,12029,30103,12015,30139,12009,30112,12019,30120,11932,30136,12034
104,28046,12024,28062,12028,28177,12024,28099,12013,28058,12007,28055,12012,28063,11926,28076,12029
105,30146,12023,30150,12031,30061,12026,30126,12015,30167,12007,30135,12017,30146,11927,30163,12033
106,28052,12023,28067,12031,28180,12025,28106,12013,28067,12009,28062,12013,28070,11925,28082,12030
107,30053,12030,30064,12033,30002,12030,30047,12020,30072,12011,30047,12020,30056,11930,30076,12037
108,28268,12029,28280,12033,28347,12028,28304,12017,28283,12009,28272,12018,28280,11928,28293,12033
109,29731,12030,29742,12037,29726,12033,29739,12022,29747,12017,29728,12021,29737,11932,29751,12038
110,28547,12024,28560,12028,28595,12025,28575,12014,28567,12006,28552,12013,28558,11926,28578,12030
111,29427,12025,29444,12031,29461,12027,29454,12017,29446,12009,29433,12018,29443,11929,29455,12030
112,29015,12026,29025,12031,29010,12026,29022,12018,29034,12009,29013,12016,29023,11929,29037,12033
113,29223,12026,29236,12031,29275,12026,29254,12017,29242,12009,29224,12017,29233,11928,29250,12032
114,29372,12026,29383,12034,29334,12030,29369,12018,29393,12011,29370,12020,29377,11931,29395,12036
115,28919,12021,28937,12025,29001,12022,28961,12011,28938,12003,28927,12009,28934,11922,28949,12024
116,29270,12026,29280,12031,29240,12028,29271,12016,29291,12009,29266,12019,29276,11932,29294,12034
117,28791,12023,28806,12028,28879,12027,28834,12013,28802,12005,28791,12014,28805,11924,28815,12029
118,29316,12023,29328,12030,29286,12025,29317,12014,29337,12007,29315,12013,29322,11928,29337,12032
119,28630,12023,28648,12028,28730,12023,28675,12013,28642,12008,28635,12013,28644,11926,28658,12030
