Index,AD1_TactileRaw(16bit),AD1_VGNDRaw(16bit),AD2_TactileRaw(16bit),AD2_VGNDRaw(16bit),AD3_TactileRaw(16bit),AD3_VGNDRaw(16bit),AD4_TactileRaw(16bit),AD4_VGNDRaw(16bit),AD5_TactileRaw(16bit),AD5_VGNDRaw(16bit),AD6_TactileRaw(16bit),AD6_VGNDRaw(16bit),AD7_TactileRaw(16bit),AD7_VGNDRaw(16bit),AD8_TactileRaw(16bit),AD8_VGNDRaw(16bit)
107,25408,11816,25405,11824,25171,11822,25341,11809,25430,11798,25387,11810,25397,11730,25416,11827
108,17703,11823,17703,11830,17556,11827,17662,11815,17720,11807,17691,11816,17698,11733,17713,11831
109,14692,11828,14709,11834,14792,11829,14733,11821,14701,11813,14701,11820,14706,11737,14713,11836
110,19275,11829,19298,11835,19524,11829,19366,11817,19281,11812,19291,11819,19300,11735,19305,11835
111,27276,11833,27301,11836,27562,11832,27380,11823,27286,11816,27295,11822,27304,11740,27315,11839
112,32767,11832,32767,11833,32767,11830,32767,11821,32767,11813,32767,11820,32767,11739,32767,11838
113,32767,11837,32767,11841,32767,11839,32767,11827,32767,11821,32767,11828,32767,11744,32767,11841
114,32767,11838,32767,11846,32767,11841,32767,11830,32767,11819,32767,11829,32767,11746,32767,11847
115,32767,11841,32767,11848,32767,11846,32767,11834,32767,11824,32767,11836,32767,11751,32767,11848
116,26513,11846,26512,11854,26275,11847,26447,11837,26533,11828,26494,11836,26502,11754,26522,11854
117,18656,11844,18656,11850,18485,11847,18609,11837,18674,11827,18641,11834,18648,11752,18662,11851
118,14619,11843,14632,11850,14686,11846,14648,11835,14632,11828,14623,11835,14628,11751,14639,11851
119,18396,11840,18419,11845,18637,11840,18485,11831,18406,11824,18415,11830,18422,11747,18430,11846
120,26210,11839,26236,11844,26498,11835,26313,11825,26221,11822,26229,11828,26236,11743,26248,11844
121,32767,11839,32767,11845,32767,11840,32767,11830,32767,11824,32767,11831,32767,11745,32767,11848
122,32767,11842,32767,11849,32767,11843,32767,11833,32767,11828,32767,11832,32767,11749,32767,11847
123,32767,11846,32767,11853,32767,11850,32767,11836,32767,11828,32767,11835,32767,11755,32767,11854
124,32767,11846,32767,11854,32767,11851,32767,11838,32767,11830,32767,11838,32767,11756,32767,11856
125,27672,11850,27666,11857,27433,11853,27602,11844,27693,11833,27650,11842,27661,11758,27679,11857
126,19588,11845,19589,11852,19404,11853,19538,11840,19608,11831,19576,11839,19581,11755,19597,11854
127,14740,11844,14749,11850,14770,11847,14757,11835,14752,11828,14741,11837,14747,11751,14757,11851
128,17508,11843,17527,11848,17732,11844,17588,11834,17517,11827,17525,11834,17531,11749,17537,11849
129,25029,11844,25053,11848,25313,11842,25132,11832,25037,11827,25048,11834,25056,11749,25066,11848
130,32767,11844,32767,11849,32767,11846,32767,11835,32767,11828,32767,11834,32767,11749,32767,11848
131,32767,11847,32767,11854,32767,11847,32767,11837,32767,11831,32767,11836,32767,11752,32767,11851
132,32767,11850,32767,11854,32767,11850,32767,11841,32767,11830,32767,11839,32767,11756,32767,11856
133,32767,11848,32767,11854,32767,11851,32767,11840,32767,11832,32767,11839,32767,11756,32767,11859
134,28624,11851,28624,11859,28385,11856,28559,11847,28651,11836,28604,11845,28616,11759,28635,11862
135,20433,11850,20430,11856,20233,11852,20376,11842,20451,11830,20413,11843,20423,11758,20438,11858
136,14967,11851,14978,11855,14968,11850,14974,11842,14983,11833,14969,11843,14974,11756,14987,11856
137,16973,11849,16995,11854,17191,11847,17053,11836,16982,11830,16990,11838,16999,11752,17003,11853
138,24100,11849,24122,11851,24381,11845,24201,11837,24110,11832,24120,11837,24127,11752,24136,11851
139,32544,11850,32570,11855,32767,11848,32648,11839,32556,11835,32564,11840,32572,11753,32587,11855
140,32767,11847,32767,11854,32767,11847,32767,11836,32767,11830,32767,11837,32767,11750,32767,11853
141,32767,11850,32767,11855,32767,11852,32767,11840,32767,11833,32767,11840,32767,11756,32767,11856
142,32767,11848,32767,11857,32767,11854,32767,11842,32767,11833,32767,11843,32767,11758,32767,11858
143,29711,11849,29708,11857,29473,11853,29645,11842,29734,11832,29692,11842,29702,11758,29720,11858
144,21468,11852,21469,11860,21259,11856,21412,11844,21488,11837,21453,11846,21461,11760,21476,11858
145,15275,11847,15279,11855,15239,11850,15270,11841,15286,11833,15270,11840,15278,11755,15288,11856
146,16205,11846,16222,11852,16401,11844,16275,11833,16213,11829,16219,11837,16226,11752,16233,11851
147,22980,11846,23004,11850,23258,11842,23082,11833,22991,11828,23001,11836,23008,11749,23018,11852
148,31547,11843,31572,11846,31828,11842,31652,11832,31556,11824,31566,11831,31573,11748,31588,11848
149,32767,11847,32767,11852,32767,11847,32767,11834,32767,11831,32767,11837,32767,11752,32767,11853
150,32767,11851,32767,11857,32767,11853,32767,11839,32767,11833,32767,11840,32767,11757,32767,11856
151,32767,11847,32767,11855,32767,11852,32767,11841,32767,11833,32767,11839,32767,11758,32767,11854
152,30417,11853,30417,11861,30182,11858,30354,11847,30443,11835,30399,11847,30408,11761,30428,11860
153,22040,11850,22042,11855,21826,11855,21981,11841,22063,11832,22024,11844,22033,11758,22048,11860
154,15632,11853,15636,11856,15571,11856,15617,11844,15648,11833,15628,11843,15633,11758,15644,11861
155,15727,11845,15742,11848,15905,11843,15792,11835,15733,11825,15738,11834,15745,11748,15751,11848
156,22365,11846,22389,11851,22643,11846,22466,11837,22378,11831,22388,11837,22392,11750,22401,11854
157,32767,11847,32767,11853,32767,11849,32767,11839,32767,11830,32767,11836,32767,11752,32767,11854
158,32767,11853,32767,11857,32767,11853,32767,11841,32767,11834,32767,11841,32767,11758,32767,11859
159,32767,11855,32767,11862,32767,11858,32767,11847,32767,11837,32767,11846,32767,11764,32767,11864
160,23190,11858,23189,11863,22965,11862,23126,11847,23210,11842,23172,11848,23179,11765,23198,11866
