Time(ms),TactileRaw(16bit),GroundRef(16bit)
2335.00,-5539,2
2340.00,-5539,1
2345.00,-5549,3
2350.00,-5535,3
2355.00,-5538,3
2360.00,-5534,5
2365.00,-5541,1
2370.00,-5534,2
2375.00,-5534,2
2380.00,-5544,4
2385.00,-5539,4
2390.00,-5531,2
2395.00,-5534,2
2400.00,-5536,3
2405.00,-5528,2
2410.00,-5529,2
2415.00,-5540,3
2420.00,-5539,1
2425.00,-5537,5
2430.00,-5539,3
2435.00,-5540,2
2440.00,-5543,3
2445.00,-5537,2
2450.00,-5531,4
2455.00,-5537,2
2460.00,-5533,2
2465.00,-5540,4
2470.00,-5540,5
2475.00,-5533,4
2480.00,-5542,3
2485.00,-5535,2
2490.00,-5543,2
2495.00,-5536,2
2500.00,-5542,3
2505.00,-5534,3
2510.00,-5533,2
2515.00,-5544,2
2520.00,-5538,3
2525.00,-5543,0
2530.00,-5544,3
2535.00,-5544,2
2540.00,-5538,2
2545.00,-5533,3
2550.00,-5537,2
2555.00,-5539,3
2560.00,-5531,4
2565.00,-5534,2
2570.00,-5534,2
2575.00,-5528,3
2580.00,-5531,2
2585.00,-5525,3
2590.00,-5536,4
2595.00,-5546,4
2600.00,-5537,4
2605.00,-5540,1
2610.00,-5537,4
2615.00,-5539,3
2620.00,-5543,3
2625.00,-5542,2
2630.00,-5552,3
2635.00,-5549,2
2640.00,-5548,2
2645.00,-5549,1
2650.00,-5550,0
2655.00,-5543,3
2660.00,-5542,3
2665.00,-5549,2
2670.00,-5546,3
2675.00,-5537,4
2680.00,-5539,2
2685.00,-5549,4
2690.00,-5544,4
2695.00,-5550,2
2700.00,-5544,3
2705.00,-5537,2
2710.00,-5551,4
2715.00,-5547,5
2720.00,-5551,3
2725.00,-5548,5
2730.00,-5549,2
2735.00,-5547,4
2740.00,-5551,2
2745.00,-5551,2
2750.00,-5551,2
2755.00,-5552,2
2760.00,-5555,2
2765.00,-5544,2
2770.00,-5545,4
2775.00,-5543,4
2780.00,-5549,3
2785.00,-5552,2
2790.00,-5546,2
2795.00,-5545,2
2800.00,-5547,5
2805.00,-5546,2
2810.00,-5546,2
2815.00,-5546,2
2820.00,-5546,3
2825.00,-5543,3
2830.00,-5542,2
2835.00,-5543,2
2840.00,-5538,5
2845.00,-5542,5
2850.00,-5537,3
2855.00,-5545,2
2860.00,-5537,2
2865.00,-5546,4
2870.00,-5548,3
2875.00,-5537,2
2880.00,-5541,2
2885.00,-5548,2
2890.00,-5536,2
2895.00,-5544,3
2900.00,-5535,3
2905.00,-5544,3
2910.00,-5543,2
2915.00,-5549,4
2920.00,-5550,0
2925.00,-5538,2
2930.00,-5539,5
2935.00,-5535,4
2940.00,-5540,3
2945.00,-5537,5
2950.00,-5549,5
2955.00,-5546,2
2960.00,-5544,2
2965.00,-5547,3
2970.00,-5556,4
2975.00,-5552,2
2980.00,-5543,2
2985.00,-5547,2
2990.00,-5544,2
2995.00,-5553,2
3000.00,-5548,4
3005.00,-5547,3
3010.00,-5554,3
3015.00,-5555,2
3020.00,-5555,3
3025.00,-5558,3
3030.00,-5552,5
3035.00,-5546,2
3040.00,-5544,2
3045.00,-5549,5
3050.00,-5551,2
3055.00,-5549,2
3060.00,-5555,2
3065.00,-5552,2
3070.00,-5548,1
3075.00,-5546,2
3080.00,-5552,2
3085.00,-5549,2
3090.00,-5543,2
3095.00,-5556,2
3100.00,-5549,2
3105.00,-5546,5
3110.00,-5554,4
3115.00,-5546,3
3120.00,-5548,2
3125.00,-5540,2
3130.00,-5537,2
3135.00,-5542,2
3140.00,-5540,2
3145.00,-5544,3
3150.00,-5538,5
3155.00,-5546,2
3160.00,-5538,3
3165.00,-5546,3
3170.00,-5549,1
3175.00,-5549,2
3180.00,-5547,2
3185.00,-5546,5
3190.00,-5543,3
3195.00,-5557,3
3200.00,-5561,4
3205.00,-5545,2
3210.00,-5552,2
3215.00,-5544,2
3220.00,-5541,0
3225.00,-5548,4
3230.00,-5552,2
3235.00,-5549,2
3240.00,-5549,2
3245.00,-5547,2
3250.00,-5547,1
3255.00,-5547,2
3260.00,-5543,4
3265.00,-5550,2
3270.00,-5547,3
3275.00,-5537,1
3280.00,-5551,3
3285.00,-5547,2
3290.00,-5560,4
3295.00,-5549,2
