Index,TemperatureRaw16,VGNDRaw16,TemperatureBaselineRaw16,TemperatureRaw16_Filtered,TemperatureNoiseRaw16,VGNDBaselineRaw16,VGNDRaw16_Filtered,VGNDNoiseRaw16
175,32,-2,35,52.048870,-2.911828,-1,-2.001595,-0.860989
176,35,-1,35,55.048870,0.088172,-1,-1.001595,0.139011
177,35,-2,35,55.048870,0.088172,-1,-2.001595,-0.860989
178,38,1,35,58.048870,3.088172,-1,0.998405,2.139011
179,41,0,35,61.048870,6.088172,-1,-0.001595,1.139011
180,42,-2,35,62.048870,7.088172,-1,-2.001595,-0.860989
181,42,-2,35,62.048870,7.088172,-1,-2.001595,-0.860989
182,31,-2,35,51.048870,-3.911828,-1,-2.001595,-0.860989
183,29,-1,35,49.048870,-5.911828,-1,-1.001595,0.139011
184,36,-1,35,56.048870,1.088172,-1,-1.001595,0.139011
185,32,-3,35,52.048870,-2.911828,-1,-3.001595,-1.860989
186,37,-2,35,57.048870,2.088172,-1,-2.001595,-0.860989
187,31,-2,35,51.048870,-3.911828,-1,-2.001595,-0.860989
188,30,-2,35,50.048870,-4.911828,-1,-2.001595,-0.860989
189,38,-2,35,58.048870,3.088172,-1,-2.001595,-0.860989
190,30,-1,35,50.048870,-4.911828,-1,-1.001595,0.139011
191,35,0,35,55.048870,0.088172,-1,-0.001595,1.139011
192,32,1,35,52.048870,-2.911828,-1,0.998405,2.139011
193,32,-2,35,52.048870,-2.911828,-1,-2.001595,-0.860989
194,39,-2,35,59.048870,4.088172,-1,-2.001595,-0.860989
195,31,-1,35,51.048870,-3.911828,-1,-1.001595,0.139011
196,33,-1,35,53.048870,-1.911828,-1,-1.001595,0.139011
197,39,-1,35,59.048870,4.088172,-1,-1.001595,0.139011
198,37,0,35,57.048870,2.088172,-1,-0.001595,1.139011
199,31,-1,35,51.048870,-3.911828,-1,-1.001595,0.139011
200,34,-2,35,54.048870,-0.911828,-1,-2.001595,-0.860989
201,26,-2,35,46.048870,-8.911828,-1,-2.001595,-0.860989
202,37,0,35,57.048870,2.088172,-1,-0.001595,1.139011
203,46,0,35,66.048870,11.088172,-1,-0.001595,1.139011
204,36,-2,35,56.048870,1.088172,-1,-2.001595,-0.860989
205,40,-2,35,60.048870,5.088172,-1,-2.001595,-0.860989
206,47,-1,35,67.048870,12.088172,-1,-1.001595,0.139011
207,43,-2,35,63.048870,8.088172,-1,-2.001595,-0.860989
208,33,-1,35,53.048870,-1.911828,-1,-1.001595,0.139011
209,35,0,35,55.048870,0.088172,-1,-0.001595,1.139011
210,36,-2,35,56.048870,1.088172,-1,-2.001595,-0.860989
211,36,-1,34,57.048870,2.088172,-1,-1.001595,0.139011
212,32,-1,35,52.048870,-2.911828,-1,-1.001595,0.139011
213,40,-2,34,61.048870,6.088172,-1,-2.001595,-0.860989
214,29,0,34,50.048870,-4.911828,-1,-0.001595,1.139011
215,41,-3,34,62.048870,7.088172,-1,-3.001595,-1.860989
216,35,0,34,56.048870,1.088172,-1,-0.001595,1.139011
217,35,1,34,56.048870,1.088172,-1,0.998405,2.139011
218,35,-1,34,56.048870,1.088172,-1,-1.001595,0.139011
219,39,-2,34,60.048870,5.088172,-1,-2.001595,-0.860989
220,38,-1,34,59.048870,4.088172,-1,-1.001595,0.139011
221,38,0,34,59.048870,4.088172,-1,-0.001595,1.139011
222,35,-1,34,56.048870,1.088172,-1,-1.001595,0.139011
223,30,-1,34,51.048870,-3.911828,-1,-1.001595,0.139011
224,44,-2,34,65.048870,10.088172,-1,-2.001595,-0.860989
225,32,-2,34,53.048870,-1.911828,-1,-2.001595,-0.860989
226,32,0,34,53.048870,-1.911828,-1,-0.001595,1.139011
227,39,0,34,60.048870,5.088172,-1,-0.001595,1.139011
228,27,-1,34,48.048870,-6.911828,-1,-1.001595,0.139011
229,32,0,34,53.048870,-1.911828,-1,-0.001595,1.139011
230,41,-2,34,62.048870,7.088172,-1,-2.001595,-0.860989
231,28,-2,34,49.048870,-5.911828,-1,-2.001595,-0.860989
232,37,-1,34,58.048870,3.088172,-1,-1.001595,0.139011
233,30,-2,34,51.048870,-3.911828,-1,-2.001595,-0.860989
234,35,0,34,56.048870,1.088172,-1,-0.001595,1.139011
235,32,-2,34,53.048870,-1.911828,-1,-2.001595,-0.860989
236,29,-1,34,50.048870,-4.911828,-1,-1.001595,0.139011
237,26,-1,34,47.048870,-7.911828,-1,-1.001595,0.139011
238,30,0,34,51.048870,-3.911828,-1,-0.001595,1.139011
239,30,-2,34,51.048870,-3.911828,-1,-2.001595,-0.860989
240,34,-1,34,55.048870,0.088172,-1,-1.001595,0.139011
241,27,-1,34,48.048870,-6.911828,-1,-1.001595,0.139011
242,29,-3,34,50.048870,-4.911828,-1,-3.001595,-1.860989
243,24,-2,34,45.048870,-9.911828,-1,-2.001595,-0.860989
244,30,-2,34,51.048870,-3.911828,-1,-2.001595,-0.860989
245,41,-2,34,62.048870,7.088172,-1,-2.001595,-0.860989
246,34,-2,34,55.048870,0.088172,-1,-2.001595,-0.860989
247,28,-1,34,49.048870,-5.911828,-1,-1.001595,0.139011
248,28,-1,34,49.048870,-5.911828,-1,-1.001595,0.139011
249,29,-1,34,50.048870,-4.911828,-1,-1.001595,0.139011
250,35,-2,34,56.048870,1.088172,-1,-2.001595,-0.860989
251,39,-1,34,60.048870,5.088172,-1,-1.001595,0.139011
252,35,-2,34,56.048870,1.088172,-1,-2.001595,-0.860989
253,29,-2,34,50.048870,-4.911828,-1,-2.001595,-0.860989
254,38,1,34,59.048870,4.088172,-1,0.998405,2.139011
255,34,-2,34,55.048870,0.088172,-1,-2.001595,-0.860989
256,35,-2,34,56.048870,1.088172,-1,-2.001595,-0.860989
257,21,0,34,42.048870,-12.911828,-1,-0.001595,1.139011
258,35,1,34,56.048870,1.088172,-1,0.998405,2.139011
259,30,-2,34,51.048870,-3.911828,-1,-2.001595,-0.860989
260,24,-1,34,45.048870,-9.911828,-1,-1.001595,0.139011
261,30,-1,34,51.048870,-3.911828,-1,-1.001595,0.139011
262,36,-2,34,57.048870,2.088172,-1,-2.001595,-0.860989
263,33,-2,34,54.048870,-0.911828,-1,-2.001595,-0.860989
264,21,-2,34,42.048870,-12.911828,-1,-2.001595,-0.860989
265,41,-2,34,62.048870,7.088172,-1,-2.001595,-0.860989
266,33,-2,34,54.048870,-0.911828,-1,-2.001595,-0.860989
267,32,0,34,53.048870,-1.911828,-1,-0.001595,1.139011
268,31,-3,34,52.048870,-2.911828,-1,-3.001595,-1.860989
269,24,-2,34,45.048870,-9.911828,-1,-2.001595,-0.860989
270,35,-4,34,56.048870,1.088172,-1,-4.001595,-2.860989
271,27,-4,34,48.048870,-6.911828,-1,-4.001595,-2.860989
272,29,-1,34,50.048870,-4.911828,-1,-1.001595,0.139011
273,21,-2,34,42.048870,-12.911828,-1,-2.001595,-0.860989
274,33,0,34,54.048870,-0.911828,-1,-0.001595,1.139011
275,31,0,34,52.048870,-2.911828,-1,-0.001595,1.139011
276,29,-2,34,50.048870,-4.911828,-1,-2.001595,-0.860989
277,35,-1,34,56.048870,1.088172,-1,-1.001595,0.139011
278,36,-1,34,57.048870,2.088172,-1,-1.001595,0.139011
279,25,0,34,46.048870,-8.911828,-1,-0.001595,1.139011
280,29,-1,34,50.048870,-4.911828,-1,-1.001595,0.139011
281,32,0,34,53.048870,-1.911828,-1,-0.001595,1.139011
282,26,0,34,47.048870,-7.911828,-1,-0.001595,1.139011
283,26,-2,34,47.048870,-7.911828,-1,-2.001595,-0.860989
284,32,-2,34,53.048870,-1.911828,-1,-2.001595,-0.860989
285,38,-2,34,59.048870,4.088172,-1,-2.001595,-0.860989
286,33,-2,34,54.048870,-0.911828,-1,-2.001595,-0.860989
287,33,-3,34,54.048870,-0.911828,-1,-3.001595,-1.860989
288,35,-2,34,56.048870,1.088172,-1,-2.001595,-0.860989
289,25,-1,33,47.048870,-7.911828,-1,-1.001595,0.139011
290,38,-2,34,59.048870,4.088172,-1,-2.001595,-0.860989
291,32,-2,34,53.048870,-1.911828,-1,-2.001595,-0.860989
292,34,-2,34,55.048870,0.088172,-1,-2.001595,-0.860989
293,29,-1,34,50.048870,-4.911828,-1,-1.001595,0.139011
294,42,-2,34,63.048870,8.088172,-1,-2.001595,-0.860989
295,27,-1,33,49.048870,-5.911828,-1,-1.001595,0.139011
296,35,-1,34,56.048870,1.088172,-1,-1.001595,0.139011
297,33,1,33,55.048870,0.088172,-1,0.998405,2.139011
298,26,-2,33,48.048870,-6.911828,-1,-2.001595,-0.860989
299,40,1,33,62.048870,7.088172,-1,0.998405,2.139011
300,31,-1,33,53.048870,-1.911828,-1,-1.001595,0.139011
301,35,-1,33,57.048870,2.088172,-1,-1.001595,0.139011
302,37,-2,33,59.048870,4.088172,-1,-2.001595,-0.860989
303,33,0,33,55.048870,0.088172,-1,-0.001595,1.139011
304,38,0,33,60.048870,5.088172,-1,-0.001595,1.139011
305,30,-2,33,52.048870,-2.911828,-1,-2.001595,-0.860989
306,47,-1,33,69.048870,14.088172,-1,-1.001595,0.139011
307,32,-1,33,54.048870,-0.911828,-1,-1.001595,0.139011
308,38,-2,33,60.048870,5.088172,-1,-2.001595,-0.860989
309,35,0,33,57.048870,2.088172,-1,-0.001595,1.139011
310,32,1,33,54.048870,-0.911828,-1,0.998405,2.139011
311,31,0,33,53.048870,-1.911828,-1,-0.001595,1.139011
312,38,1,33,60.048870,5.088172,-1,0.998405,2.139011
313,38,0,33,60.048870,5.088172,-1,-0.001595,1.139011
314,33,-1,33,55.048870,0.088172,-1,-1.001595,0.139011
315,32,-2,33,54.048870,-0.911828,-1,-2.001595,-0.860989
316,32,-1,33,54.048870,-0.911828,-1,-1.001595,0.139011
317,22,-1,33,44.048870,-10.911828,-1,-1.001595,0.139011
