Index,R0_C0,R0_C1,R0_C2,R0_C3,R0_C4,R0_C5,R1_C0,R1_C1,R1_C2,R1_C3,R1_C4,R1_C5,R2_C0,R2_C1,R2_C2,R2_C3,R2_C4,R2_C5,R3_C0,R3_C1,R3_C2,R3_C3,R3_C4,R3_C5,R4_C0,R4_C1,R4_C2,R4_C3,R4_C4,R4_C5,R5_C0,R5_C1,R5_C2,R5_C3,R5_C4,R5_C5,VGND
9844,-8,7,-1,1,-4,-1,-10,8,-4,-1,-5,0,-8,7,1,-2,-3,-1,-10,9,3,-2,-1,-2,-10,7,1,0,-4,0,-9,6,1,-2,-5,1,-2
9845,-7,8,0,0,-5,-1,-12,9,-6,0,-3,1,-8,7,0,0,-6,0,-9,7,-1,-1,-3,0,-9,7,2,-1,-3,0,-10,9,0,0,-4,1,-2
9846,-7,7,1,0,-5,1,-11,10,-5,1,-4,-2,-8,6,1,-1,-4,0,-10,6,2,0,-5,0,-8,6,-2,1,-3,-2,-8,6,1,1,-4,0,-2
9847,-7,8,0,-1,-4,-2,-11,9,-6,1,-4,1,-10,8,2,0,-4,-2,-9,7,2,-3,-4,-2,-8,7,2,0,-3,-2,-6,6,2,1,-5,1,-1
9848,-7,9,0,1,-4,-1,-13,6,-5,0,-3,0,-9,9,0,1,-3,1,-8,7,-2,-2,-3,-1,-10,9,0,0,-3,-1,-9,7,0,0,-3,0,-2
9849,-10,8,3,1,-5,-2,-13,8,-4,-2,-7,2,-10,7,0,1,-5,0,-10,7,-2,0,-6,-1,-10,8,0,-2,-5,1,-7,8,0,-1,-3,0,1
9850,-8,6,1,1,-6,1,-10,9,-5,-1,-3,-1,-9,7,0,-1,-5,2,-9,6,1,1,-3,1,-9,9,1,-2,-4,0,-10,8,1,1,-6,1,-2
9851,-7,6,-1,1,-3,1,-13,9,-5,1,-6,1,-8,7,0,-1,-3,1,-9,6,3,-2,-4,1,-8,6,2,1,-6,0,-10,7,2,-1,-4,0,0
9852,-10,5,-1,0,-4,1,-12,7,-5,-1,-4,-2,-10,8,0,0,-3,-1,-9,5,0,1,-3,1,-6,7,0,1,-3,1,-7,8,-3,-2,-3,-1,-3
9853,-9,7,0,-3,-6,1,-12,8,-3,-4,-4,-1,-10,9,2,-1,-4,1,-9,9,-1,-1,-3,-1,-7,9,2,-1,-5,-1,-10,5,0,0,-3,1,0
9854,-9,6,2,-2,-5,1,-14,8,-6,0,-3,1,-7,7,-1,0,-4,1,-10,6,0,-1,-3,-1,-7,7,0,-2,-6,3,-9,7,2,0,-4,-2,1
9855,-11,7,0,0,-6,1,-12,6,-3,0,-6,-1,-7,9,-1,1,-3,0,-9,7,-1,0,-5,1,-10,5,3,1,-3,0,-8,8,-1,1,-3,1,-1
9856,-10,9,0,0,-6,-1,-12,7,-4,-1,-6,-2,-10,8,2,-2,-5,1,-8,7,0,-1,-3,-2,-7,6,-1,2,-4,1,-8,8,0,-2,-6,2,-1
9857,-8,6,0,0,-5,1,-12,6,-3,-1,-6,-2,-9,8,0,1,-6,-1,-7,8,0,-1,-6,0,-7,7,1,-2,-3,-2,-8,9,0,0,-4,2,-1
9858,-10,9,0,-2,-3,0,-14,7,-5,-3,-4,-1,-10,6,0,-1,-4,-1,-7,9,0,1,-5,0,-9,9,0,-2,-3,1,-9,8,0,-1,-3,1,-2
9859,-10,7,0,-2,-4,0,-13,8,-4,0,-4,1,-8,6,1,-2,-6,-1,-9,7,0,-1,-4,0,-10,6,-2,-1,-2,0,-10,9,0,0,-3,-1,-2
9860,-10,6,1,-2,-5,-1,-13,8,-3,1,-5,1,-12,7,0,-1,-5,1,-7,7,1,0,-4,1,-10,7,-1,0,-3,1,-10,9,1,-1,-3,-2,-2
9861,-9,8,0,0,-5,-1,-10,7,-5,1,-5,0,-10,8,0,-2,-4,-1,-8,8,0,-1,-5,0,-8,8,3,-1,-5,1,-8,6,2,1,-5,1,-1
9862,-10,7,0,-2,-4,-2,-12,9,-5,2,-5,3,-9,10,0,-1,-6,1,-7,6,-1,1,-6,0,-8,8,0,-1,-3,1,-10,8,1,-2,-4,0,1
9863,-10,6,0,-2,-5,1,-12,8,-5,1,-4,1,-9,6,1,-1,-6,1,-11,9,0,1,-6,1,-10,8,3,0,-4,-1,-7,8,2,-2,-4,1,1
9864,-10,7,2,0,-5,-2,-13,7,-6,-1,-3,-1,-10,8,3,-2,-5,1,-8,9,-1,1,-4,1,-9,6,0,-2,-3,-3,-7,8,2,1,-5,0,-1
9865,-10,6,0,-2,-6,2,-13,6,-4,-2,-5,1,-8,6,1,-1,-5,0,-7,9,0,-1,-5,-2,-10,8,0,-2,-4,1,-11,7,3,-2,-4,1,-2
9866,-7,7,1,-1,-2,-2,-12,9,-6,-2,-3,-2,-9,8,1,-2,-6,0,-9,7,0,1,-5,1,-9,8,0,-2,-3,0,-9,8,0,0,-6,2,-3
9867,-10,8,0,0,-5,1,-14,8,-3,-1,-5,2,-9,6,0,-2,-3,1,-10,8,0,-2,-4,0,-9,8,0,1,-6,1,-10,6,0,0,-4,-1,-2
9868,-9,6,1,-1,-3,-1,-13,6,-6,0,-4,-2,-8,7,0,-2,-4,-2,-10,6,0,0,-4,1,-10,9,2,1,-4,0,-10,6,2,1,-6,1,-1
9869,-9,6,0,-2,-6,1,-12,7,-3,0,-3,-2,-10,8,0,-2,-5,-1,-9,9,0,-1,-5,0,-7,6,-2,-1,-3,0,-9,8,0,-2,-3,-2,0
9870,-9,9,-2,0,-5,1,-12,6,-6,-1,-5,1,-10,7,-1,-2,-5,-2,-10,9,3,-1,-5,1,-9,7,-1,-2,-3,1,-6,8,1,-2,-5,0,-1
9871,-9,7,1,0,-4,1,-12,9,-5,-2,-3,-2,-9,6,1,-1,-4,-2,-7,8,1,-2,-3,-1,-9,7,0,-2,-4,-1,-7,6,2,-3,-5,1,-2
9872,-9,7,2,-1,-4,-2,-13,5,-6,0,-5,0,-8,7,0,0,-4,0,-7,9,-2,0,-5,-1,-8,7,2,-1,-5,-1,-8,7,0,1,-5,1,-3
9873,-9,7,0,-3,-5,0,-11,7,-3,0,-4,-1,-9,6,0,-2,-3,-2,-8,7,0,1,-4,0,-10,6,1,0,-3,0,-9,7,2,-2,-4,-1,-2
9874,-10,9,3,-2,-4,2,-12,8,-6,-1,-5,1,-9,9,2,0,-4,1,-11,6,1,-2,-5,1,-9,9,0,-3,-5,1,-7,6,-2,1,-6,4,-1
