Time(ms),TactileRaw(16bit),GroundRef(16bit)
2210.00,-589,2
2215.00,-591,5
2220.00,-589,3
2225.00,-587,2
2230.00,-587,2
2235.00,-586,4
2240.00,-590,4
2245.00,-584,4
2250.00,-586,1
2255.00,-589,4
2260.00,-586,5
2265.00,-590,5
2270.00,-586,4
2275.00,-595,5
2280.00,-593,2
2285.00,-589,5
2290.00,-587,4
2295.00,-594,5
2300.00,-591,4
2305.00,-586,4
2310.00,-590,5
2315.00,-589,5
2320.00,-587,2
2325.00,-584,3
2330.00,-587,2
2335.00,-585,3
2340.00,-586,3
2345.00,-587,3
2350.00,-587,2
2355.00,-587,8
2360.00,-586,4
2365.00,-586,5
2370.00,-587,4
2375.00,-590,2
2380.00,-589,4
2385.00,-586,4
2390.00,-588,4
2395.00,-584,2
2400.00,-584,2
2405.00,-585,6
2410.00,-586,3
2415.00,-583,6
2420.00,-582,5
2425.00,-588,4
2430.00,-585,5
2435.00,-584,1
2440.00,-587,3
2445.00,-584,3
2450.00,-591,4
2455.00,-588,1
2460.00,-588,2
2465.00,-586,5
2470.00,-588,3
2475.00,-582,2
2480.00,-587,5
2485.00,-586,4
2490.00,-584,4
2495.00,-583,2
2500.00,-583,5
2505.00,-582,3
2510.00,-589,2
2515.00,-582,3
2520.00,-588,5
2525.00,-587,3
2530.00,-587,3
2535.00,-583,4
2540.00,-581,3
2545.00,-579,3
2550.00,-583,4
2555.00,-581,4
2560.00,-580,3
2565.00,-587,4
2570.00,-584,3
2575.00,-587,2
2580.00,-586,4
2585.00,-583,6
2590.00,-592,4
2595.00,-583,4
2600.00,-583,2
2605.00,-582,3
2610.00,-584,4
2615.00,-583,5
2620.00,-584,4
2625.00,-589,6
2630.00,-589,2
2635.00,-583,5
2640.00,-584,3
2645.00,-583,3
2650.00,-587,3
2655.00,-586,5
2660.00,-588,2
2665.00,-584,5
2670.00,-586,2
2675.00,-587,6
2680.00,-586,2
2685.00,-586,3
2690.00,-584,5
2695.00,-581,4
2700.00,-583,3
2705.00,-588,4
2710.00,-585,5
2715.00,-587,2
2720.00,-583,2
2725.00,-583,4
2730.00,-583,3
2735.00,-586,3
2740.00,-582,3
2745.00,-583,3
2750.00,-584,4
2755.00,-585,4
2760.00,-589,4
2765.00,-586,4
2770.00,-585,4
2775.00,-586,1
2780.00,-583,3
2785.00,-584,4
2790.00,-571,2
2795.00,-577,3
2800.00,-580,3
2805.00,-581,5
2810.00,-577,4
2815.00,-579,5
2820.00,-581,6
2825.00,-576,2
2830.00,-582,3
2835.00,-579,4
2840.00,-579,5
2845.00,-578,2
2850.00,-574,3
2855.00,-580,5
2860.00,-574,5
2865.00,-569,2
2870.00,-578,4
2875.00,-578,4
2880.00,-574,5
2885.00,-580,3
2890.00,-575,3
2895.00,-577,5
2900.00,-575,3
2905.00,-572,4
2910.00,-574,2
2915.00,-574,3
2920.00,-577,4
2925.00,-574,5
2930.00,-578,2
2935.00,-579,2
